"Add Timeframe","Add Timeframe"
"Weekday","Weekday"
"Earliest time","Earliest time"
"Latest time","Latest time"
"Fee","Fee"
"Sort Order","Sort Order"
"Validate Webhook","Validate Webhook"
"Live","Live"
"Test","Test"
"Off","Off"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Could not create a Webhook token","Could not create a Webhook token"
"Webhook already created","Webhook already created"
"Webhook created! Token was %1 available","Webhook created! Token was %1 available"
"An exception occurred while creating the webhook","An exception occurred while creating the webhook"
"User not authorized","User not authorized"
"Request is not a RoutiGo webhook request","Request is not a RoutiGo webhook request"
"Only ROUTE_PLANNED event is implemented","Only ROUTE_PLANNED event is implemented"
"Tourlegs needs to be supplied to be processed","Tourlegs needs to be supplied to be processed"
"Uploaded to RoutiGo with batchId %1","Uploaded to RoutiGo with batchId %1"
"Magento version compatibility","Magento version compatibility"
"Supported Magento versions","Supported Magento versions"
"RoutiGo version","RoutiGo version"
"Your PHP version","Your PHP version"
"Support","Support"
"This extension is developed by <a href='https://tig.nl' target='_BLANK'>TIG</a>","This extension is developed by <a href="'https://tig.nl' target='_BLANK'>TIG</a>"
"Extension basic configuration and account information","Extension basic configuration and account information"
"Please contact:","Please contact:"
"%1 : Zend Http Client exception","%1 : Zend Http Client exception"
"Enabled","Enabled"
"Title","Title"
"Method Name","Method Name"
"Price","Price"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
"Account settings","Account settings"
"Mode","Mode"
"Api Key","Api Key"
"<![CDATA[Please save your configuration before testing the validation of the webhook.]]>","<![CDATA[Please save your configuration before testing the validation of the webhook.]]>"
"Settings","Settings"
"Cutoff time","Cutoff time"
"<![CDATA[When an order is placed after this time, another day will be added to the shipping duration.]]>","<![CDATA[When an order is placed after this time, another day will be added to the shipping duration.]]>"
"Shipment days","Shipment days"
"<![CDATA[Select on which days of the week orders are shipped.]]>","<![CDATA[Select on which days of the week orders are shipped.]]>"
"Timeframes","Timeframes"
"Enable available timeframes","Enable available timeframes"
"<![CDATA[Configure the available timeframes visible for customers in the frontend.]]>","<![CDATA[Configure the available timeframes visible for customers in the frontend.]]>"
"Upload","Upload"
"Order status to upload automatically","Order status to upload automatically"
"<![CDATA[Upload orders with this status automatically to RoutiGo]]>","<![CDATA[Upload orders with this status automatically to RoutiGo]]>"
"Change Order Statuses after automatic upload","Change Order Statuses after automatic upload"
"Version & Support","Version & Support"
"RoutiGo - Plan Orders","RoutiGo - Plan Orders"
"Between","Between"
"and","and"
